,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,5,0,0,6300000,14600000,12,652,10300000,3500000,23500000,5900000,0
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2,0,0,5000000,19400000,12,315,9500000,1600000,18000000,6100000,1
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,4,0,0,5800000,14000000,16,530,3800000,11300000,22200000,5400000,1
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,4,0,1,6500000,25700000,18,311,13100000,1700000,19500000,8500000,1
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0,0,1,500000,1400000,2,551,900000,600000,1100000,300000,0
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,4900000,9800000,16,324,3800000,8700000,10000000,3300000,1
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,5,0,0,3100000,9500000,20,514,7900000,3100000,6600000,2600000,1
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,4,0,0,8200000,28100000,12,696,11500000,10600000,25300000,7200000,0
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,4,0,1,2400000,5600000,4,662,4500000,4200000,5400000,2500000,0
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,5,0,1,7000000,24000000,6,336,2300000,11900000,27500000,9700000,1
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,3,0,1,9000000,31500000,10,850,21800000,12400000,33700000,8000000,0
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2,0,0,9800000,25300000,12,313,20200000,5200000,25500000,9300000,1
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,2,0,0,5700000,12000000,6,363,3600000,7400000,21700000,4300000,1
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,1,0,1,800000,1600000,10,436,700000,200000,2200000,1000000,1
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,5,0,1,8400000,22000000,2,830,3800000,3900000,19900000,5400000,0
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,3,0,0,4900000,11900000,8,612,9700000,1200000,19000000,5800000,0
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,2,0,1,1700000,3400000,8,691,2700000,2800000,6000000,900000,0
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,3,0,0,1600000,6200000,18,636,3400000,700000,5300000,1400000,0
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,5,0,1,8000000,27200000,6,348,6400000,300000,16700000,7100000,1
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,5,0,0,3600000,7700000,16,830,7000000,1300000,10000000,2900000,0
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,0,1,1500000,5100000,6,352,100000,200000,5600000,900000,1
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1,0,0,7800000,18100000,2,712,8600000,11200000,21700000,9000000,0
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,2,0,0,9100000,24900000,16,822,22300000,12100000,31000000,5200000,0
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,3,0,0,1400000,3400000,6,540,200000,1500000,3900000,800000,1
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,2,0,1,800000,2300000,12,342,2200000,1300000,1800000,800000,1
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,5,0,0,6500000,13400000,18,787,18200000,300000,16200000,5400000,0
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,4,0,0,8000000,27800000,16,331,13000000,6300000,21400000,10900000,1
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,3,0,1,4200000,14600000,6,679,2400000,6900000,8700000,4900000,0
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1,0,1,4900000,19100000,14,677,5400000,9100000,17700000,6500000,0
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3,0,0,5500000,20500000,12,634,800000,8600000,18500000,8200000,0
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,1,0,1,9500000,19100000,16,662,100000,10500000,37700000,11700000,0
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,4,0,0,7300000,25400000,16,502,500000,1800000,20500000,10500000,1
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,2,0,0,8700000,24700000,10,435,6800000,3500000,21800000,11300000,1
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,5,0,0,3800000,7600000,4,689,8700000,100000,9300000,3400000,0
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,1,0,1,8400000,23000000,12,657,15400000,14800000,31900000,8200000,0
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,2,0,1,5100000,19700000,20,590,7400000,9300000,19400000,3400000,0
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,5,0,0,6700000,24500000,12,818,1200000,5600000,16300000,6200000,0
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,2,0,0,4300000,10600000,18,431,2100000,1500000,9300000,5200000,1
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,5,0,1,9300000,30500000,18,841,19300000,10300000,34600000,8700000,0
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,1,0,0,7400000,18400000,20,421,18500000,9100000,17500000,4100000,1
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,4,0,1,5500000,18200000,16,797,-100000,4900000,18600000,4800000,0
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,2,0,0,8500000,18900000,18,478,23800000,16300000,25900000,11400000,1
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,3,0,1,9600000,30500000,18,669,4700000,1900000,26500000,9300000,0
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,5,0,1,8800000,28900000,6,365,24400000,8600000,27400000,4700000,1
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,3,0,1,3300000,7500000,20,586,1600000,5600000,10500000,2900000,0
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,4,0,1,3900000,12300000,18,784,7600000,6900000,13100000,2800000,0
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,1,0,0,4100000,10300000,12,364,9500000,6100000,14900000,2800000,1
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,3,0,0,8300000,29100000,10,715,6100000,11900000,24100000,11900000,0
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,0,0,1,2700000,10100000,20,693,200000,1700000,5900000,1400000,1
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,4,0,0,5600000,12400000,4,777,5500000,3100000,11800000,5500000,0
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,0,0,0,1900000,5000000,12,312,4000000,2800000,4900000,2400000,1
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,4,0,1,500000,1500000,20,340,100000,200000,1900000,600000,1
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,5,0,1,5300000,18600000,4,386,2700000,9700000,11900000,4200000,0
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,5,0,0,7000000,18300000,4,418,18400000,11700000,21500000,7600000,1
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,3,0,1,5800000,16700000,16,735,3900000,9400000,12600000,5600000,0
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,2,0,0,2600000,8400000,6,494,6500000,3800000,5600000,2000000,1
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,2,0,0,1900000,6500000,18,671,600000,2500000,4800000,1100000,0
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,4,0,0,5700000,14800000,16,697,14300000,7800000,12900000,6300000,0
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,0,0,0,9000000,33500000,8,801,11600000,8900000,35400000,11100000,0
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,2,0,0,8500000,29400000,12,576,17600000,5600000,25200000,9000000,0
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,0,0,0,700000,1400000,14,639,1900000,700000,2400000,900000,0
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,4,0,0,3500000,8900000,4,470,1300000,2200000,12300000,2000000,1
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,0,0,0,8800000,31200000,4,826,2900000,500000,33300000,8600000,0
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,2,0,1,9900000,21200000,16,363,25500000,11400000,26600000,6800000,1
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,3,0,0,3600000,8600000,20,613,9400000,300000,10300000,3300000,0
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,3,0,1,3000000,8200000,16,713,5300000,5800000,11000000,3400000,0
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,2,0,0,6800000,21200000,16,439,17100000,4700000,23300000,3600000,1
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,5,0,1,1100000,3800000,18,387,1300000,1200000,3800000,1600000,1
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,1,0,1,8700000,28300000,8,402,20400000,13600000,27900000,10200000,1
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,4,0,1,2000000,8000000,6,837,5100000,2600000,3900000,2900000,0
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,2,0,0,9800000,37600000,10,641,24100000,0,23400000,7600000,0
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,4,0,0,5700000,21100000,18,489,500000,4300000,12500000,6000000,1
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,4,0,0,8800000,20700000,18,540,19200000,3200000,22400000,12700000,1
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,4,0,0,3800000,8900000,4,844,9100000,3500000,13100000,4700000,0
93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,1,0,0,1700000,6400000,10,452,900000,1100000,5600000,2100000,1
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,2,0,0,1000000,2000000,10,366,1200000,400000,3200000,1300000,1
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,5,0,0,300000,1100000,2,300,100000,500000,700000,400000,0
96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,2,0,1,6600000,15000000,18,470,1200000,4800000,18200000,7000000,1
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,2,0,0,8700000,25000000,20,861,14700000,8500000,23200000,7300000,0
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,4,0,0,9400000,29400000,12,562,25900000,15200000,36400000,7100000,0
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,0,0,4400000,10800000,14,463,2400000,4800000,13800000,4700000,1
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4,0,0,400000,900000,12,478,700000,100000,1200000,100000,1
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,2,0,1,300000,1100000,2,702,300000,200000,500000,200000,0
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,2,0,1,4300000,12900000,20,618,11400000,3600000,11400000,2400000,0
103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,4,0,0,1600000,4500000,12,633,700000,1700000,4100000,1900000,0
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,5,0,1,6200000,23600000,10,331,18500000,10300000,23800000,8700000,1
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,3,0,1,4200000,9700000,16,841,7800000,300000,16700000,5100000,0
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,4,0,1,9000000,18100000,12,764,600000,16500000,20800000,11600000,0
107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,0,0,0,2700000,10600000,6,591,1300000,2700000,9900000,1800000,0
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,1,0,1,9700000,35900000,2,719,19600000,7600000,20400000,10900000,0
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,2,0,0,3300000,6800000,14,317,3400000,300000,11700000,3600000,1
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,0,0,0,300000,1100000,8,778,800000,200000,900000,100000,0
111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,3,0,1,7400000,18200000,14,302,5600000,3100000,17900000,5000000,1
112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,5,0,0,7100000,19700000,8,502,7300000,5600000,25300000,9800000,1
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,5,0,1,7300000,22100000,18,879,19500000,10600000,19300000,9800000,0
114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,1,0,0,8400000,23400000,14,437,15400000,5800000,33400000,8100000,1
115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,0,0,1,3300000,10800000,12,797,600000,6000000,7700000,3300000,0
116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,4,0,1,5800000,23200000,18,456,16100000,4200000,22600000,7500000,1
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,0,0,0,600000,1600000,6,647,1500000,600000,1500000,700000,0
118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,0,0,0,7200000,15800000,12,379,12700000,12200000,21500000,3600000,1
119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,1,0,1,9100000,32900000,2,717,2200000,2000000,23600000,5900000,0
120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,5,0,0,900000,2300000,16,545,100000,200000,2700000,800000,1
121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,2,0,0,800000,3200000,8,317,300000,1000000,2000000,900000,1
122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,1,0,0,8500000,32900000,10,570,5100000,6200000,20500000,5500000,0
123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,0,0,1,9000000,18700000,18,865,26800000,0,20900000,11300000,0
124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,3,0,0,7000000,19500000,14,719,12200000,10300000,18200000,10200000,0
125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,3,0,0,200000,600000,16,821,400000,100000,500000,100000,0
126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,4,0,1,400000,800000,10,859,900000,500000,800000,200000,0
127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,3,0,0,5100000,18200000,10,395,100000,8000000,15500000,6300000,1
128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,2,0,1,700000,2600000,12,429,1600000,1300000,2700000,800000,1
129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,3,0,0,400000,1200000,12,861,200000,600000,1100000,200000,0
130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,0,0,1,9500000,20800000,14,565,15100000,11900000,33900000,13400000,0
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,5,0,0,8800000,22600000,10,357,7900000,8600000,18200000,4900000,1
132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,3,0,1,1800000,3600000,18,465,600000,500000,5400000,2600000,1
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,4,0,1,6800000,13900000,8,479,11700000,9100000,25700000,9600000,1
134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,3,0,0,1500000,5500000,16,717,2100000,800000,4400000,1300000,0
135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,3,0,0,1600000,5500000,12,425,600000,800000,5400000,900000,1
136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,2,0,0,4600000,16700000,2,786,200000,5900000,13900000,6100000,0
137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,5,0,1,2200000,6700000,6,382,4400000,1300000,8600000,1100000,1
138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,3,0,1,2900000,8500000,12,564,1000000,3100000,7500000,1800000,0
139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,0,0,0,200000,700000,8,501,500000,200000,700000,100000,1
140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,2,0,1,2500000,9400000,10,727,6600000,4100000,9500000,3300000,0
141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,4,0,0,3600000,7500000,6,894,1100000,6500000,7400000,2800000,0
142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,0,0,1,5500000,16700000,18,829,5500000,1300000,12800000,5900000,0
143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,4,0,0,6600000,17400000,20,506,2600000,10000000,25900000,7200000,1
144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,2,0,1,8600000,32100000,6,802,9400000,16700000,24500000,9800000,0
145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,5,0,0,600000,1500000,14,543,300000,900000,2100000,300000,1
146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,3,0,1,1400000,3200000,20,772,2400000,900000,5100000,1600000,0
147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,3,0,0,4000000,11100000,12,572,9700000,100000,12500000,2400000,0
148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,0,0,1,4900000,11900000,16,709,14600000,900000,18500000,3800000,0
149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,5,0,0,2000000,6200000,18,402,4000000,2100000,7200000,1100000,1
150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,1,0,1,5200000,19300000,8,481,14300000,9500000,18800000,4200000,1
151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,5,0,1,8900000,28800000,6,772,13600000,5500000,20400000,8400000,0
152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152,1,0,1,6500000,20600000,2,306,15900000,1900000,18100000,3200000,0
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,2,0,0,1300000,4500000,6,415,0,900000,2900000,1200000,1
154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,3,0,0,9400000,35000000,16,548,18200000,4400000,36100000,4800000,1
155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,5,0,0,5000000,11200000,8,701,9100000,500000,14000000,4600000,0
156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,2,0,0,3000000,7700000,12,890,4700000,4300000,8400000,2100000,0
157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,157,5,0,1,9900000,33300000,6,364,5300000,18700000,27800000,8300000,1
158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,5,0,1,700000,1300000,20,704,1600000,0,2200000,600000,0
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,3,0,1,4000000,10600000,10,318,1500000,5100000,8000000,4900000,1
160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,5,0,0,3100000,9600000,2,761,5800000,1800000,10400000,4200000,0
161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,161,4,0,0,4500000,15100000,6,693,3700000,1500000,17800000,6000000,0
162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,3,0,0,9700000,20600000,16,524,24200000,11100000,27400000,6100000,1
163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,2,0,1,2000000,5300000,10,681,4900000,1400000,4300000,2900000,0
164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,164,2,0,1,8100000,22300000,18,737,22300000,12600000,27000000,7300000,0
165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,0,0,0,5700000,15900000,16,638,100000,9500000,16300000,4500000,0
166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,166,4,0,0,5800000,12800000,2,656,500000,5000000,16000000,2800000,0
167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,167,1,0,0,1800000,6500000,6,540,2500000,3200000,5000000,1100000,1
168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,4,0,1,9100000,35200000,6,341,1000000,300000,23100000,8200000,1
169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,0,0,1,4800000,17500000,2,371,11700000,6800000,18700000,3500000,0
170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,3,0,1,3800000,10500000,12,886,4000000,500000,14900000,2300000,0
171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,0,0,0,1900000,4100000,18,801,400000,800000,4800000,1200000,0
172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,172,3,0,1,3600000,9500000,16,748,7700000,2400000,9700000,2600000,0
173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,173,2,0,1,7400000,28200000,8,376,21900000,5000000,17400000,5200000,1
174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,4,0,1,6600000,14300000,8,371,10800000,9500000,18500000,7400000,1
175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,2,0,0,1800000,5300000,6,826,4500000,700000,6500000,1300000,0
176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,4,0,0,9200000,27200000,12,873,4500000,1800000,33800000,11400000,0
177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177,5,0,1,2400000,8600000,8,309,500000,600000,5700000,2800000,1
178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,178,4,0,0,5600000,13300000,20,869,3300000,7500000,20000000,6500000,0
179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,5,0,0,3800000,13900000,12,534,4700000,2900000,8200000,2800000,1
180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,3,0,1,4500000,17900000,6,787,9800000,3600000,14300000,4200000,0
181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,181,0,0,1,900000,2200000,16,566,100000,700000,2000000,600000,0
182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182,0,0,0,2800000,9900000,8,742,4900000,1300000,6700000,1700000,0
183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,2,0,0,7500000,23100000,4,824,12100000,10900000,26300000,9500000,0
184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,184,4,0,0,1400000,3100000,14,575,3000000,2100000,4900000,1400000,0
185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,2,0,1,3800000,10900000,10,766,1900000,3900000,8600000,3000000,0
186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186,1,0,1,1700000,5000000,10,888,2900000,900000,4100000,2200000,0
187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,187,3,0,1,9000000,30400000,6,638,16800000,11000000,26900000,9200000,0
188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,5,0,1,7300000,23300000,6,622,7100000,11600000,26400000,10500000,0
189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,1,0,0,7400000,19800000,18,458,12600000,6200000,27700000,4000000,1
190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,1,0,0,9000000,28200000,16,327,1700000,2300000,24000000,11200000,1
191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,0,0,0,3000000,6500000,2,612,8800000,3400000,6700000,1700000,0
192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,1,0,0,800000,2900000,8,682,2200000,1100000,2900000,700000,0
193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,2,0,0,4800000,13200000,2,583,13700000,5800000,9500000,5200000,0
194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,194,5,0,0,6400000,18300000,8,697,10000000,3600000,22500000,3600000,0
195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,3,0,0,9200000,27100000,12,306,5800000,11500000,28000000,9600000,1
196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,196,4,0,1,400000,1500000,2,669,-100000,600000,900000,500000,0
197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,2,0,0,2800000,6000000,18,816,6300000,4200000,8000000,3400000,0
198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,4,0,1,8500000,28900000,20,455,15200000,5800000,22500000,9400000,1
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,3,0,1,4700000,16400000,10,318,11400000,8100000,16200000,4300000,1
200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,4,0,1,9800000,21200000,20,355,22000000,8900000,31800000,14400000,1
